Match,TeamInnings,Name,Runs,Balls,Fours,Sixes,Strike_Rate,pos,Out_or_Notout,MatchId
Namibia Vs Sri Lanka,Namibia,Michael van Lingen ,3,6,0,0,50.00,1,out,1823
Namibia Vs Sri Lanka,Namibia,Divan la Cock ,9,9,1,0,100.00,2,out,1823
Namibia Vs Sri Lanka,Namibia,Jan Nicol Loftie Eaton ,20,12,1,2,166.66,3,out,1823
Namibia Vs Sri Lanka,Namibia,Stephan Baard ,26,24,2,0,108.33,4,out,1823
Namibia Vs Sri Lanka,Namibia,Gerhard Erasmus ,20,24,0,0,83.33,5,out,1823
Namibia Vs Sri Lanka,Namibia,Jan Frylinck ,44,28,4,0,157.14,6,out,1823
Namibia Vs Sri Lanka,Namibia,David Wiese ,0,1,0,0,0.00,7,out,1823
Namibia Vs Sri Lanka,Namibia,JJ Smit ,31,16,2,2,193.75,8,not out ,1823
Namibia Vs Sri Lanka,Sri Lanka,Pathum Nissanka ,9,10,1,0,90.00,1,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Kusal Mendis ,6,6,0,0,100.00,2,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva ,12,11,1,0,109.09,3,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Danushka Gunathilaka ,0,1,0,0,0.00,4,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Bhanuka Rajapaksa ,20,21,2,0,95.23,5,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Dasun Shanaka ,29,23,2,1,126.08,6,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga de Silva ,4,8,0,0,50.00,7,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Chamika Karunaratne ,5,8,0,0,62.50,8,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Pramod Madushan ,0,0,0,0,-,9,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Dushmantha Chameera ,8,15,0,0,53.33,10,out,1823
Namibia Vs Sri Lanka,Sri Lanka,Maheesh Theekshana ,11,11,0,1,100.00,11,not out ,1823
U.A.E. Vs Netherlands,U.A.E.,Chirag Suri ,12,20,1,0,60.00,1,out,1825
U.A.E. Vs Netherlands,U.A.E.,Muhammad Waseem ,41,47,1,2,87.23,2,out,1825
U.A.E. Vs Netherlands,U.A.E.,Kashif Daud ,15,14,0,1,107.14,3,out,1825
U.A.E. Vs Netherlands,U.A.E.,Vriitya Aravind ,18,21,0,0,85.71,4,out,1825
U.A.E. Vs Netherlands,U.A.E.,Zawar Farid ,2,4,0,0,50.00,5,out,1825
U.A.E. Vs Netherlands,U.A.E.,Basil Hameed ,4,4,1,0,100.00,6,out,1825
U.A.E. Vs Netherlands,U.A.E.,Chundangapoyil Rizwan ,1,2,0,0,50.00,7,out,1825
U.A.E. Vs Netherlands,U.A.E.,Aayan Afzal Khan ,5,7,0,0,71.42,8,out,1825
